Bar_name,Modules,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer
LAW-LIE,14,10.22523459,-68.56024402,52.33663563,21.34120359,-26.85873602,65.73183363,LAW_LIE,LAW-LIE-14,"['ERA', 'EVE', 'FOG', 'GIG', 'IRE', 'RIB', 'TAU', 'OLD']",LAW-14_LIE-14,"['ERA-LAW-14', 'EVE-LAW-14', 'FOG-LAW-14', 'GIG-LAW-14', 'IRE-LAW-14', 'LAW-RIB-14', 'LAW-TAU-14', 'LAW-OLD-14', 'GIG-LIE-14', 'LIE-OLD-14', 'LIE-TAU-14', 'EVE-LIE-14']","['ERA-LAW', 'EVE-LAW', 'FOG-LAW', 'GIG-LAW', 'IRE-LAW', 'LAW-RIB', 'LAW-TAU', 'LAW-OLD', 'GIG-LIE', 'LIE-OLD', 'LIE-TAU', 'EVE-LIE']","['ERA-14', 'EVE-14', 'FOG-14', 'GIG-14', 'IRE-14', 'RIB-14', 'TAU-14', 'OLD-14', 'GIG-14', 'OLD-14', 'TAU-14', 'EVE-14']",0,inner
EVE-LIE,14,21.34120359,-68.56024402,52.33663563,30.91119559,-41.28148002,69.58921863,EVE_LIE,EVE-LIE-14,"['LAW', 'OLD', 'GIG', 'IRE', 'TAU']",EVE-14_LIE-14,"['EVE-LAW-14', 'EVE-OLD-14', 'EVE-GIG-14', 'EVE-IRE-14', 'GIG-LIE-14', 'LIE-OLD-14', 'LIE-TAU-14', 'LAW-LIE-14']","['EVE-LAW', 'EVE-OLD', 'EVE-GIG', 'EVE-IRE', 'GIG-LIE', 'LIE-OLD', 'LIE-TAU', 'LAW-LIE']","['LAW-14', 'OLD-14', 'GIG-14', 'IRE-14', 'GIG-14', 'OLD-14', 'TAU-14', 'LAW-14']",0,in_to_out
EVE-LAW,14,10.22523459,-41.28148002,65.73183363,30.91119559,-26.85873602,69.58921863,EVE_LAW,EVE-LAW-14,"['OLD', 'GIG', 'IRE', 'LIE', 'ERA', 'FOG', 'RIB', 'TAU']",EVE-14_LAW-14,"['EVE-OLD-14', 'EVE-GIG-14', 'EVE-IRE-14', 'EVE-LIE-14', 'ERA-LAW-14', 'FOG-LAW-14', 'GIG-LAW-14', 'IRE-LAW-14', 'LAW-RIB-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14']","['EVE-OLD', 'EVE-GIG', 'EVE-IRE', 'EVE-LIE', 'ERA-LAW', 'FOG-LAW', 'GIG-LAW', 'IRE-LAW', 'LAW-RIB', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD']","['OLD-14', 'GIG-14', 'IRE-14', 'LIE-14', 'ERA-14', 'FOG-14', 'GIG-14', 'IRE-14', 'RIB-14', 'LIE-14', 'TAU-14', 'OLD-14']",0,in_to_out
ERA-LAW,14,10.22523459,-26.85873602,62.12956063,13.73802359,14.67203198,65.73183363,ERA_LAW,ERA-LAW-14,"['RIB', 'IRE', 'GIG', 'EVE', 'FOG', 'LIE', 'TAU', 'OLD']",ERA-14_LAW-14,"['ERA-RIB-14', 'ERA-IRE-14', 'ERA-GIG-14', 'EVE-LAW-14', 'FOG-LAW-14', 'GIG-LAW-14', 'IRE-LAW-14', 'LAW-RIB-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14']","['ERA-RIB', 'ERA-IRE', 'ERA-GIG', 'EVE-LAW', 'FOG-LAW', 'GIG-LAW', 'IRE-LAW', 'LAW-RIB', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD']","['RIB-14', 'IRE-14', 'GIG-14', 'EVE-14', 'FOG-14', 'GIG-14', 'IRE-14', 'RIB-14', 'LIE-14', 'TAU-14', 'OLD-14']",0,inner
ERA-IRE,14,13.73802359,-3.166204017,62.12956063,36.45626059,14.67203198,68.58317463,ERA_IRE,ERA-IRE-14,"['RIB', 'GIG', 'LAW', 'EVE']",ERA-14_IRE-14,"['ERA-RIB-14', 'ERA-GIG-14', 'ERA-LAW-14', 'EVE-IRE-14', 'GIG-IRE-14', 'IRE-LAW-14', 'IRE-RIB-14']","['ERA-RIB', 'ERA-GIG', 'ERA-LAW', 'EVE-IRE', 'GIG-IRE', 'IRE-LAW', 'IRE-RIB']","['RIB-14', 'GIG-14', 'LAW-14', 'EVE-14', 'GIG-14', 'LAW-14', 'RIB-14']",0,in_to_out
LAW-RIB,14,0.777001594,-26.85873602,65.73183363,10.22523459,-2.205857017,78.78930963,LAW_RIB,LAW-RIB-14,"['ERA', 'EVE', 'FOG', 'GIG', 'IRE', 'LIE', 'TAU', 'OLD']",LAW-14_RIB-14,"['ERA-LAW-14', 'EVE-LAW-14', 'FOG-LAW-14', 'GIG-LAW-14', 'IRE-LAW-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14', 'ERA-RIB-14', 'FOG-RIB-14', 'IRE-RIB-14']","['ERA-LAW', 'EVE-LAW', 'FOG-LAW', 'GIG-LAW', 'IRE-LAW', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD', 'ERA-RIB', 'FOG-RIB', 'IRE-RIB']","['ERA-14', 'EVE-14', 'FOG-14', 'GIG-14', 'IRE-14', 'LIE-14', 'TAU-14', 'OLD-14', 'ERA-14', 'FOG-14', 'IRE-14']",0,in_to_out
FOG-LAW,14,-11.92286041,-26.85873602,65.73183363,10.22523459,-24.93838202,78.58385063,FOG_LAW,FOG-LAW-14,"['TAU', 'RIB', 'OLD', 'ERA', 'EVE', 'GIG', 'IRE', 'LIE']",FOG-14_LAW-14,"['FOG-TAU-14', 'FOG-RIB-14', 'FOG-OLD-14', 'ERA-LAW-14', 'EVE-LAW-14', 'GIG-LAW-14', 'IRE-LAW-14', 'LAW-RIB-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14']","['FOG-TAU', 'FOG-RIB', 'FOG-OLD', 'ERA-LAW', 'EVE-LAW', 'GIG-LAW', 'IRE-LAW', 'LAW-RIB', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD']","['TAU-14', 'RIB-14', 'OLD-14', 'ERA-14', 'EVE-14', 'GIG-14', 'IRE-14', 'RIB-14', 'LIE-14', 'TAU-14', 'OLD-14']",0,in_to_out
GIG-LAW,14,10.22523459,-26.85873602,51.21567163,41.95506859,-21.83033602,65.73183363,GIG_LAW,GIG-LAW-14,"['LIE', 'ERA', 'EVE', 'IRE', 'FOG', 'RIB', 'TAU', 'OLD']",GIG-14_LAW-14,"['GIG-LIE-14', 'ERA-GIG-14', 'EVE-GIG-14', 'GIG-IRE-14', 'ERA-LAW-14', 'EVE-LAW-14', 'FOG-LAW-14', 'IRE-LAW-14', 'LAW-RIB-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14']","['GIG-LIE', 'ERA-GIG', 'EVE-GIG', 'GIG-IRE', 'ERA-LAW', 'EVE-LAW', 'FOG-LAW', 'IRE-LAW', 'LAW-RIB', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD']","['LIE-14', 'ERA-14', 'EVE-14', 'IRE-14', 'ERA-14', 'EVE-14', 'FOG-14', 'IRE-14', 'RIB-14', 'LIE-14', 'TAU-14', 'OLD-14']",0,inner
OLD-TAU,14,-21.30092041,-60.86001002,61.36783063,-0.811181406,-46.13249602,71.98093063,OLD_TAU,OLD-TAU-14,"['LIE', 'EVE', 'FOG', 'LAW']",OLD-14_TAU-14,"['LIE-OLD-14', 'EVE-OLD-14', 'FOG-OLD-14', 'LAW-OLD-14', 'FOG-TAU-14', 'LIE-TAU-14', 'LAW-TAU-14']","['LIE-OLD', 'EVE-OLD', 'FOG-OLD', 'LAW-OLD', 'FOG-TAU', 'LIE-TAU', 'LAW-TAU']","['LIE-14', 'EVE-14', 'FOG-14', 'LAW-14', 'FOG-14', 'LIE-14', 'LAW-14']",0,in_to_out
IRE-LAW,14,10.22523459,-26.85873602,65.73183363,36.45626059,-3.166204017,68.58317463,IRE_LAW,IRE-LAW-14,"['ERA', 'EVE', 'GIG', 'RIB', 'FOG', 'LIE', 'TAU', 'OLD']",IRE-14_LAW-14,"['ERA-IRE-14', 'EVE-IRE-14', 'GIG-IRE-14', 'IRE-RIB-14', 'ERA-LAW-14', 'EVE-LAW-14', 'FOG-LAW-14', 'GIG-LAW-14', 'LAW-RIB-14', 'LAW-LIE-14', 'LAW-TAU-14', 'LAW-OLD-14']","['ERA-IRE', 'EVE-IRE', 'GIG-IRE', 'IRE-RIB', 'ERA-LAW', 'EVE-LAW', 'FOG-LAW', 'GIG-LAW', 'LAW-RIB', 'LAW-LIE', 'LAW-TAU', 'LAW-OLD']","['ERA-14', 'EVE-14', 'GIG-14', 'RIB-14', 'ERA-14', 'EVE-14', 'FOG-14', 'GIG-14', 'RIB-14', 'LIE-14', 'TAU-14', 'OLD-14']",0,in_to_out
IRE-RIB,14,0.777001594,-3.166204017,68.58317463,36.45626059,-2.205857017,78.78930963,IRE_RIB,IRE-RIB-14,"['ERA', 'EVE', 'GIG', 'LAW', 'FOG']",IRE-14_RIB-14,"['ERA-IRE-14', 'EVE-IRE-14', 'GIG-IRE-14', 'IRE-LAW-14', 'ERA-RIB-14', 'FOG-RIB-14', 'LAW-RIB-14']","['ERA-IRE', 'EVE-IRE', 'GIG-IRE', 'IRE-LAW', 'ERA-RIB', 'FOG-RIB', 'LAW-RIB']","['ERA-14', 'EVE-14', 'GIG-14', 'LAW-14', 'ERA-14', 'FOG-14', 'LAW-14']",0,outer
ERA-GIG,14,13.73802359,-21.83033602,51.21567163,41.95506859,14.67203198,62.12956063,ERA_GIG,ERA-GIG-14,"['RIB', 'IRE', 'LAW', 'LIE', 'EVE']",ERA-14_GIG-14,"['ERA-RIB-14', 'ERA-IRE-14', 'ERA-LAW-14', 'GIG-LIE-14', 'EVE-GIG-14', 'GIG-IRE-14', 'GIG-LAW-14']","['ERA-RIB', 'ERA-IRE', 'ERA-LAW', 'GIG-LIE', 'EVE-GIG', 'GIG-IRE', 'GIG-LAW']","['RIB-14', 'IRE-14', 'LAW-14', 'LIE-14', 'EVE-14', 'IRE-14', 'LAW-14']",0,inner
GIG-LIE,14,21.34120359,-68.56024402,51.21567163,41.95506859,-21.83033602,52.33663563,GIG_LIE,GIG-LIE-14,"['ERA', 'EVE', 'IRE', 'LAW', 'OLD', 'TAU']",GIG-14_LIE-14,"['ERA-GIG-14', 'EVE-GIG-14', 'GIG-IRE-14', 'GIG-LAW-14', 'LIE-OLD-14', 'LIE-TAU-14', 'EVE-LIE-14', 'LAW-LIE-14']","['ERA-GIG', 'EVE-GIG', 'GIG-IRE', 'GIG-LAW', 'LIE-OLD', 'LIE-TAU', 'EVE-LIE', 'LAW-LIE']","['ERA-14', 'EVE-14', 'IRE-14', 'LAW-14', 'OLD-14', 'TAU-14', 'EVE-14', 'LAW-14']",0,inner
FOG-TAU,14,-21.30092041,-46.13249602,61.36783063,-11.92286041,-24.93838202,78.58385063,FOG_TAU,FOG-TAU-14,"['RIB', 'LAW', 'OLD', 'LIE']",FOG-14_TAU-14,"['FOG-RIB-14', 'FOG-LAW-14', 'FOG-OLD-14', 'LIE-TAU-14', 'OLD-TAU-14', 'LAW-TAU-14']","['FOG-RIB', 'FOG-LAW', 'FOG-OLD', 'LIE-TAU', 'OLD-TAU', 'LAW-TAU']","['RIB-14', 'LAW-14', 'OLD-14', 'LIE-14', 'OLD-14', 'LAW-14']",0,in_to_out
FOG-OLD,14,-11.92286041,-60.86001002,71.98093063,-0.811181406,-24.93838202,78.58385063,FOG_OLD,FOG-OLD-14,"['TAU', 'RIB', 'LAW', 'LIE', 'EVE']",FOG-14_OLD-14,"['FOG-TAU-14', 'FOG-RIB-14', 'FOG-LAW-14', 'LIE-OLD-14', 'OLD-TAU-14', 'EVE-OLD-14', 'LAW-OLD-14']","['FOG-TAU', 'FOG-RIB', 'FOG-LAW', 'LIE-OLD', 'OLD-TAU', 'EVE-OLD', 'LAW-OLD']","['TAU-14', 'RIB-14', 'LAW-14', 'LIE-14', 'TAU-14', 'EVE-14', 'LAW-14']",0,outer
